# tiles			
# name		gridx	gridy
Tile	DownLeftCorner	0	0
Tile	LeftRightHall	1	0
Tile	LeftRightHall	2	0
Tile	LeftRightHall	3	0
Tile	LeftRightHall	4	0
Tile	UpWall	5	0
Tile	LeftRightHall	6	0
Tile	LeftRightHall	7	0
Tile	LeftRightHall	8	0
Tile	LeftRightHall	9	0
Tile	DownRightCorner	10	0
Tile	UpDownHall	0	1
Tile	DownLeftCorner	1	1
Tile	LeftRightHall	2	1
Tile	DownRightCorner	3	1
Tile	DownLeftCorner	4	1
Tile	DownWall	5	1
Tile	DownRightCorner	6	1
Tile	DownLeftCorner	7	1
Tile	LeftRightHall	8	1
Tile	DownRightCorner	9	1
Tile	UpDownHall	10	1
Tile	UpDownHall	0	2
Tile	UpLeftCorner	1	2
Tile	DownWall	2	2
Tile	UpWall	3	2
Tile	UpRightCorner	4	2
Tile	UpDownHall	5	2
Tile	UpLeftCorner	6	2
Tile	UpWall	7	2
Tile	DownWall	8	2
Tile	UpRightCorner	9	2
Tile	UpDownHall	10	2
Tile	UpDownHall	0	3
Tile	DownLeftCorner	1	3
Tile	UpWall	2	3
Tile	DownRightCorner	3	3
Tile	DownLeftCorner	4	3
Tile	UpWall	5	3
Tile	DownRightCorner	6	3
Tile	DownLeftCorner	7	3
Tile	UpWall	8	3
Tile	DownRightCorner	9	3
Tile	UpDownHall	10	3
Tile	UpDownHall	0	4
Tile	LeftWall	1	4
Tile	DownWall	2	4
Tile	RightWall	3	4
Tile	LeftWall	4	4
Tile	DownWall	5	4
Tile	RightWall	6	4
Tile	LeftWall	7	4
Tile	DownWall	8	4
Tile	RightWall	9	4
Tile	UpDownHall	10	4
Tile	UpRightCorner	0	5
Tile	UpDownHall	1	5
Tile	UpDownHall	2	5
Tile	UpDownHall	3	5
Tile	LeftWall	4	5
Tile	NoWall	5	5
Tile	RightWall	6	5
Tile	UpDownHall	7	5
Tile	UpDownHall	8	5
Tile	UpDownHall	9	5
Tile	UpLeftCorner	10	5
Tile	DownLeftCorner	0	6
Tile	UpRightCorner	1	6
Tile	UpDownHall	2	6
Tile	UpDownHall	3	6
Tile	UpLeftCorner	4	6
Tile	UpWall	5	6
Tile	UpRightCorner	6	6
Tile	UpDownHall	7	6
Tile	UpDownHall	8	6
Tile	UpLeftCorner	9	6
Tile	DownRightCorner	10	6
Tile	UpDownHall	0	7
Tile	DownLeftCorner	1	7
Tile	RightWall	2	7
Tile	UpLeftCorner	3	7
Tile	LeftRightHall	4	7
Tile	DownWall	5	7
Tile	LeftRightHall	6	7
Tile	UpRightCorner	7	7
Tile	LeftWall	8	7
Tile	DownRightCorner	9	7
Tile	UpDownHall	10	7
Tile	UpLeftCorner	0	8
Tile	UpRightCorner	1	8
Tile	LeftWall	2	8
Tile	DownWall	3	8
Tile	LeftRightHall	4	8
Tile	NoWall	5	8
Tile	LeftRightHall	6	8
Tile	DownWall	7	8
Tile	RightWall	8	8
Tile	UpLeftCorner	9	8
Tile	UpRightCorner	10	8
Tile	DownLeftCorner	0	9
Tile	LeftRightHall	1	9
Tile	UpRightCorner	2	9
Tile	UpLeftCorner	3	9
Tile	DownWall	4	9
Tile	UpWall	5	9
Tile	DownWall	6	9
Tile	UpRightCorner	7	9
Tile	UpLeftCorner	8	9
Tile	LeftRightHall	9	9
Tile	DownRightCorner	10	9
Tile	UpLeftCorner	0	10
Tile	LeftRightHall	1	10
Tile	LeftRightHall	2	10
Tile	LeftRightHall	3	10
Tile	UpWall	4	10
Tile	DownWall	5	10
Tile	UpWall	6	10
Tile	LeftRightHall	7	10
Tile	LeftRightHall	8	10
Tile	LeftRightHall	9	10
Tile	UpRightCorner	10	10

# items
# itemName gridX gridY points

Item Heart 5 5 1000
