# tiles			
# name		gridx	gridy
Tile	DownLeftCorner	0	0
Tile	LeftRightHall	1	0
Tile	DownWall	2	0
Tile	DownRightCorner	3	0
Tile	DownLeftCorner	4	0
Tile	UpRightCorner	5	0
Tile	DownLeftCorner	6	0
Tile	DownWall	7	0
Tile	DownRightCorner	8	0
Tile	DownLeftCorner	9	0
Tile	DownRightCorner	10	0
Tile	LeftWall	0	1
Tile	LeftRightHall	1	1
Tile	RightWall	2	1
Tile	UpLeftCorner	3	1
Tile	UpWall	4	1
Tile	DownWall	5	1
Tile	UpRightCorner	6	1
Tile	UpDownHall	7	1
Tile	LeftWall	8	1
Tile	UpRightCorner	9	1
Tile	UpDownHall	10	1
Tile	UpDownHall	0	2
Tile	DownLeftCorner	1	2
Tile	RightWall	2	2
Tile	DownLeftCorner	3	2
Tile	DownWall	4	2
Tile	UpWall	5	2
Tile	LeftRightHall	6	2
Tile	UpRightCorner	7	2
Tile	UpLeftCorner	8	2
Tile	DownWall	9	2
Tile	UpRightCorner	10	2
Tile	UpLeftCorner	0	3
Tile	RightWall	1	3
Tile	UpLeftCorner	2	3
Tile	UpRightCorner	3	3
Tile	UpDownHall	4	3
Tile	DownLeftCorner	5	3
Tile	DownWall	6	3
Tile	DownWall	7	3
Tile	LeftRightHall	8	3
Tile	NoWall	9	3
Tile	DownRightCorner	10	3
Tile	LeftEnd	0	4
Tile	UpRightCorner	1	4
Tile	DownLeftCorner	2	4
Tile	DownRightCorner	3	4
Tile	UpLeftCorner	4	4
Tile	UpRightCorner	5	4
Tile	UpDownHall	6	4
Tile	LeftWall	7	4
Tile	DownRightCorner	8	4
Tile	UpDownHall	9	4
Tile	UpDownHall	10	4
Tile	DownWall	0	5
Tile	LeftRightHall	1	5
Tile	RightWall	2	5
Tile	UpLeftCorner	3	5
Tile	DownWall	4	5
Tile	DownRightCorner	5	5
Tile	UpLeftCorner	6	5
Tile	UpRightCorner	7	5
Tile	LeftWall	8	5
Tile	UpRightCorner	9	5
Tile	LeftWall	10	5
Tile	LeftWall	0	6
Tile	DownRightCorner	1	6
Tile	LeftWall	2	6
Tile	LeftRightHall	3	6
Tile	RightWall	4	6
Tile	UpLeftCorner	5	6
Tile	DownWall	6	6
Tile	DownRightCorner	7	6
Tile	UpLeftCorner	8	6
Tile	LeftRightHall	9	6
Tile	UpRightCorner	10	6
Tile	UpDownHall	0	7
Tile	UpLeftCorner	1	7
Tile	RightWall	2	7
Tile	DownLeftCorner	3	7
Tile	NoWall	4	7
Tile	LeftRightHall	5	7
Tile	RightWall	6	7
Tile	UpLeftCorner	7	7
Tile	DownWall	8	7
Tile	DownWall	9	7
Tile	DownRightCorner	10	7
Tile	UpDownHall	0	8
Tile	DownLeftCorner	1	8
Tile	NoWall	2	8
Tile	RightWall	3	8
Tile	UpLeftCorner	4	8
Tile	DownRightCorner	5	8
Tile	UpLeftCorner	6	8
Tile	DownWall	7	8
Tile	UpRightCorner	8	8
Tile	UpDownHall	9	8
Tile	UpEnd	10	8
Tile	LeftWall	0	9
Tile	UpRightCorner	1	9
Tile	UpDownHall	2	9
Tile	UpDownHall	3	9
Tile	DownLeftCorner	4	9
Tile	NoWall	5	9
Tile	DownRightCorner	6	9
Tile	UpLeftCorner	7	9
Tile	DownRightCorner	8	9
Tile	UpLeftCorner	9	9
Tile	DownRightCorner	10	9
Tile	UpLeftCorner	0	10
Tile	LeftRightHall	1	10
Tile	UpRightCorner	2	10
Tile	UpLeftCorner	3	10
Tile	UpRightCorner	4	10
Tile	UpDownHall	5	10
Tile	UpLeftCorner	6	10
Tile	LeftRightHall	7	10
Tile	UpWall	8	10
Tile	LeftRightHall	9	10
Tile	UpRightCorner	10	10
