# tiles			
# name		gridx	gridy
Tile	DownLeftCorner	0	0
Tile	LeftRightHall	1	0
Tile	DownWall	2	0
Tile	LeftRightHall	3	0
Tile	DownRightCorner	4	0
Tile	UpDownHall	5	0
Tile	DownLeftCorner	6	0
Tile	DownRightCorner	7	0
Tile	DownLeftCorner	8	0
Tile	LeftRightHall	9	0
Tile	DownRightCorner	10	0
Tile	UpLeftCorner	0	1
Tile	LeftRightHall	1	1
Tile	UpRightCorner	2	1
Tile	DownLeftCorner	3	1
Tile	UpRightCorner	4	1
Tile	UpDownHall	5	1
Tile	UpDownHall	6	1
Tile	UpDownHall	7	1
Tile	LeftWall	8	1
Tile	DownRightCorner	9	1
Tile	UpDownHall	10	1
Tile	DownLeftCorner	0	2
Tile	LeftRightHall	1	2
Tile	DownRightCorner	2	2
Tile	UpLeftCorner	3	2
Tile	DownRightCorner	4	2
Tile	UpDownHall	5	2
Tile	LeftWall	6	2
Tile	RightWall	7	2
Tile	UpDownHall	8	2
Tile	UpLeftCorner	9	2
Tile	UpRightCorner	10	2
Tile	LeftWall	0	3
Tile	LeftRightHall	1	3
Tile	UpWall	2	3
Tile	DownRightCorner	3	3
Tile	UpDownHall	4	3
Tile	UpDownHall	5	3
Tile	UpDownHall	6	3
Tile	UpDownHall	7	3
Tile	LeftWall	8	3
Tile	LeftRightHall	9	3
Tile	DownRightCorner	10	3
Tile	UpLeftCorner	0	4
Tile	LeftRightHall	1	4
Tile	DownRightCorner	2	4
Tile	UpDownHall	3	4
Tile	UpDownHall	4	4
Tile	UpDownHall	5	4
Tile	UpDownHall	6	4
Tile	LeftWall	7	4
Tile	UpWall	8	4
Tile	LeftRightHall	9	4
Tile	UpRightCorner	10	4
Tile	LeftRightHall	0	5
Tile	DownWall	1	5
Tile	UpRightCorner	2	5
Tile	UpLeftCorner	3	5
Tile	UpRightCorner	4	5
Tile	UpDownHall	5	5
Tile	UpLeftCorner	6	5
Tile	UpWall	7	5
Tile	LeftRightHall	8	5
Tile	DownWall	9	5
Tile	LeftRightHall	10	5
Tile	DownLeftCorner	0	6
Tile	UpRightCorner	1	6
Tile	DownLeftCorner	2	6
Tile	DownWall	3	6
Tile	DownRightCorner	4	6
Tile	LeftWall	5	6
Tile	DownWall	6	6
Tile	LeftRightHall	7	6
Tile	DownRightCorner	8	6
Tile	UpLeftCorner	9	6
Tile	DownRightCorner	10	6
Tile	LeftWall	0	7
Tile	DownRightCorner	1	7
Tile	UpDownHall	2	7
Tile	UpDownHall	3	7
Tile	UpLeftCorner	4	7
Tile	RightWall	5	7
Tile	UpLeftCorner	6	7
Tile	DownWall	7	7
Tile	NoWall	8	7
Tile	LeftRightHall	9	7
Tile	RightWall	10	7
Tile	UpDownHall	0	8
Tile	UpLeftCorner	1	8
Tile	NoWall	2	8
Tile	RightWall	3	8
Tile	DownLeftCorner	4	8
Tile	RightWall	5	8
Tile	DownLeftCorner	6	8
Tile	UpRightCorner	7	8
Tile	UpLeftCorner	8	8
Tile	DownWall	9	8
Tile	UpRightCorner	10	8
Tile	UpDownHall	0	9
Tile	DownLeftCorner	1	9
Tile	RightWall	2	9
Tile	UpLeftCorner	3	9
Tile	RightWall	4	9
Tile	UpDownHall	5	9
Tile	LeftWall	6	9
Tile	LeftRightHall	7	9
Tile	DownWall	8	9
Tile	UpWall	9	9
Tile	DownRightCorner	10	9
Tile	UpLeftCorner	0	10
Tile	UpRightCorner	1	10
Tile	UpLeftCorner	2	10
Tile	LeftRightHall	3	10
Tile	UpRightCorner	4	10
Tile	UpDownHall	5	10
Tile	UpLeftCorner	6	10
Tile	LeftRightHall	7	10
Tile	UpWall	8	10
Tile	LeftRightHall	9	10
Tile	UpRightCorner	10	10
